"";"ZONA";"PROVINCIA_BD";"COMUNA_BD";"UMP";"FECHAFIN";"REGION";"SV_1";"SV_2";"SV3_1";"SV3_2";"SV3_3";"SV3_4";"SV3_5";"SV3_6";"SV_4";"MB_P1_1";"MB_P1_2";"MB_P1_3";"MB_P2";"MB_P3";"MB_P4";"MB_P5";"MB_P6";"MB_P7";"MB_P8";"MB_P8A";"MB_P9";"MB_P9A";"MB_P10_A";"MB_P10_B";"MB_P10_C";"MB_P10_D";"MB_P10_E";"MB_P10_F";"MB_P10_G";"MB_P10_H";"MB_P10_I";"MB_P10_J";"MB_P10_K";"MB_P10_L";"MB_P10_M";"MB_P10_N";"MB_P10_O";"MB_P10_P";"MB_P10_Q";"MB_P10_R";"MB_P10_S";"MB_P10_T";"MB_P10_U";"MB_P10_V";"MB_P10_W";"MB_P10_X";"MB_P10_Y";"MB_P10_Z";"MB_P10_AA";"MB_P10_BB";"MB_P10_CC";"MB_P10_DD";"MB_P11_1";"MB_P11_2";"MB_P11_3";"MB_P11_4";"MB_P11_5";"MB_P11_6";"MB_P11_7";"MB_P11_8";"MB_P11_9";"MB_P11_10";"MB_P11_11";"MB_P11_12";"MB_P11_13";"MB_P11_14";"MB_P11_15";"MB_P11_16";"MB_P11_17";"MB_P12_1";"MB_P12_2";"MB_P13_1";"MB_P13_2";"MB_P13_3";"MB_P13_4";"MB_P13_5";"MB_P13_6";"MB_P13_7";"MB_P14";"ESP_1";"ESP_2";"ESP_3";"ESP_4";"ESP_5_1";"ESP_5_2";"ESP_5_3";"ESP_5_4";"ESP_6_1";"ESP_6_2";"ESP_7";"ESP_8_1";"ESP_8_2";"ESP_8_3";"ESP_8_4";"ESP_8_5";"ESP_8_6";"ESP_8_7";"ESP_8_8";"ESP_9_1";"ESP_9_2";"ESP_10_1";"ESP_10_2";"ESP_11";"ESP_12";"ESP_13";"ESP_14A1";"ESP_14A2";"ESP_14B1";"ESP_14B2";"ESP_14C1";"ESP_14C2";"ESP_15A1";"ESP_15A2";"ESP_15B1";"ESP_15B2";"ESP_15C1";"ESP_15C2";"ESP_16_1";"ESP_16_2";"ESP_17_1";"ESP_17_2";"ESP_17_3";"ESP_18_1";"ESP_18_2";"ESP_18_3";"ESP_18_4";"ESP_18_5";"ESP_18_6";"ESP_19A";"ESP_19B";"ESP_20";"ESP_21";"ESP_22_1";"ESP_22_2";"ESP_22_3";"ESP_22_4";"ESP_22_5";"ESP_22_6";"ESP_22_7";"ESP_23_1";"ESP_23_2";"ESP_23_3";"ESP_23_4";"ESP_23_5";"ESP_23_6";"ESP_23_7";"ESP_24";"ESP_25";"ESP_26";"ESP_27";"ESP_28";"ESP_29";"ESP_30_1";"ESP_30_2";"ESP_30_3";"ESP_30_4";"ESP_31";"ESP_32";"ESP_33";"ESP_34";"ESP_35";"ESP_36";"ESP_38A";"ESP_38B";"ESP_39";"ESP_40";"ESP_41_1";"ESP_41_2";"ESP_41_3";"ESP_41_4";"ESP_41_5";"ESP_42_1";"ESP_42_2";"ESP_42_3";"ESP_43";"ESP_44";"ESP_45";"ESP_46";"ESP_47";"ESP_48A";"ESP_48B";"ESP_49_1";"ESP_49_2";"ESP_49_3";"ESP_49_4";"DS_P1";"DS_P2_EXACTA";"DS_P2A_DIA";"DS_P2A_MES";"DS_P2A_ANO";"DS_P3";"DS_P4";"DS_P5";"DS_P6";"DS_P6_OTRO";"DS_P7";"DS_P8";"DS_P9";"DS_P10";"DS_P11";"DS_P12";"DS_P13";"DS_P14";"DS_P15A";"DS_P15B";"DS_P16";"DS_P17";"DS_P18";"DS_P19";"DS_P20";"DS_P21";"DS_P22";"DS_P22B";"DS_P23";"DS_P23B";"DS_P24";"DS_P25";"DS_P26A";"DS_P26A_OTRO";"DS_P26B";"DS_P26B_OTRO";"DS_P26C";"DS_P26C_OTRO";"DS_P27";"DS_P28";"DS_P29";"DS_P30";"DS_P31";"DS_P32";"DS_P33";"DS_P34";"DS_P35";"DS_P36_1";"DS_P36_2";"DS_P36_3";"DS_P36_4";"DS_P36_5";"DS_P36_6";"DS_P36_7";"DS_P36_8";"DS_P36_9";"DS_P36_10";"DS_P36_11";"DS_P36_12";"DS_P36_13";"DS_P36_14";"DS_P36_15";"DS_P36_16";"DS_P36_17";"DS_P37_1";"DS_P37_2";"PONDERADOR"
"1";2;"83";"8301";254;"01-12-2019";8;7;3;5;5;5;4;2;4;3;1;6;7;2;2;2;3;2;2;77;77;7;7;3;3;2;8;3;4;6;3;6;6;6;6;4;4;3;6;3;6;6;4;6;6;3;6;4;6;3;6;4;2;2;2;4;4;4;4;3;3;8;3;4;3;3;3;3;3;3;4;4;2;3;3;3;3;3;3;3;1;4;3;10;1;1;1;1;1;3;1;3;3;2;3;2;2;3;1;4;7;5;8;1;5;10;5e+06;4;1,5e+07;5;220000;1;3e+06;3;5e+06;4;5e+05;2;2;5;1;1;4;4;4;4;4;4;4;NA;NA;1;2;10;10;10;NA;NA;10;10;3;3;3;3;3;3;3;3;5;2;3;5;4;4;6;5;6;7;3;3;3;5;5;1;3;88;2;5;5;5;5;5;5;4;5;2;4;1;1;1;4;5;4;4;4;4;1;59;6;4;1960;5;1;1;1;42;1;2;1;1;9;3;1;7;0;1;4;2;4;1;6;2;NA;77;77;77;88;2;1;2;0;NA;0;NA;4;4;7;7;1;2;1;NA;4;1;2;2;2;1;2;1;2;1;2;2;1;2;2;2;2;2;2;2;0,78699079
"2";2;"71";"7109";250;"11-12-2019";7;4;5;4;4;4;7;3;4;5;10;1;3;3;3;3;3;2;2;77;77;7;7;4;4;6;6;3;6;6;6;6;6;6;6;3;6;6;6;4;6;4;2;6;4;2;6;3;3;6;6;4;6;2;3;4;4;3;2;2;2;9;9;2;4;4;3;3;3;3;4;4;3;3;3;3;3;3;3;5;1;3;3;88;3;4;2;2;3;2;8;3;2;8;4;4;2;4;5;2;3;6;5;7;4;8;1e+06;2;5e+06;4;3e+05;1;2e+06;3;5e+06;4;5e+05;2;8;4;2;2;3;4;4;4;4;4;4;NA;NA;2;2;7;9;NA;100;NA;10;2;4;3;3;3;3;4;3;5;2;3;4;3;3;2;5;4;5;7;3;3;3;8;5;1;6;7;7;1;4;5;5;5;4;3;5;2;2;1;88;1;1;4;3;2;2;2;2;76;29;1;1943;6;1;2;NA;NA;1;2;8;1;8;3;1;5;0;0;2;1;3;1;88;1;7;NA;2;NA;88;2;1;2;0;NA;0;NA;2;5;6;9;1;1;1;NA;4;1;2;1;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;1,08239586
"3";1;"131";"13101";109;"15-12-2019";13;8;4;4;7;5;4;4;4;3;5;10;1;3;2;3;2;3;2;77;77;7;7;2;2;2;3;6;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;6;2;3;2;3;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;2;2;3;3;3;1;4;3;2;5;5;1;1;4;3;1;4;3;5;4;4;2;5;5;6;3;7;5;5;4;4;2e+06;3;2e+07;5;4e+05;1;2e+06;3;5e+06;4;8e+05;2;3;3;1;1;4;4;4;3;3;4;4;6;88;1;1;10;10;10;NA;10;10;10;5;5;5;5;5;5;3;2;3;2;2;3;3;3;3;4;2;3;1;1;1;2;2;5;3;5;5;1;2;5;5;5;5;5;5;1;1;1;1;1;5;4;4;4;4;4;2;45;14;9;1974;15;6;1;1;45;1;2;1;3;NA;3;9;8;3;99;4;3;5;2;99;2;NA;77;77;77;88;3;1;1;1;2;0;NA;2;3;99;99;6;2;1;NA;3;1;1;1;1;1;2;1;2;1;2;1;1;2;1;1;2;2;2;2;1,01575207
"4";1;"73";"7301";62;"09-12-2019";7;7;4;4;4;4;4;4;4;4;1;3;2;2;3;3;4;2;2;77;77;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;4;4;4;4;4;4;4;4;3;3;4;4;4;4;2;4;3;2;2;3;2;2;2;2;2;3;4;1;4;8;88;3;2;4;4;3;3;9;4;3;2;4;3;2;4;4;4;3;4;5;6;5;8;3e+06;3;1e+07;5;260000;1;200900;1;2e+06;3;6e+05;2;9;9;2;2;3;9;4;4;4;4;4;NA;NA;2;1;8;8;NA;7;99;9;9;4;88;4;4;4;4;88;4;2;2;2;2;2;5;4;5;3;2;1;3;3;3;4;5;6;2;5;2;4;5;4;5;5;5;5;2;2;88;2;88;2;3;3;2;3;3;2;52;NA;NA;NA;12;4;3;NA;NA;NA;NA;88;1;1;1;1;8;4;1;5;4;6;2;88;1;99;NA;99;99;88;4;1;4;0;NA;0;NA;3;3;99;99;1;2;999;NA;3;1;1;1;1;1;1;1;2;8;2;1;2;1;2;2;2;2;2;1;0,87407507
"5";1;"131";"13132";208;"13-12-2019";13;7;3;5;4;4;5;5;4;2;5;10;1;2;3;5;4;1;2;77;77;5;NA;2;2;1;2;2;4;2;2;3;2;3;4;2;4;2;1;2;6;1;1;6;3;1;2;3;3;4;3;3;3;2;4;3;4;4;4;4;4;2;3;4;4;4;3;3;3;3;4;4;2;1;3;2;2;1;3;2;1;4;4;3;5;5;1;1;5;5;1;4;2;4;1;5;5;5;5;10;3;7;5;3;2;3;6e+06;5;2e+07;5;3e+05;1;2e+06;3;3e+07;5;750000;2;4;3;2;1;5;4;4;4;4;4;4;NA;NA;1;1;1;1;1;NA;2;2;1;5;5;5;5;4;5;2;2;2;2;1;1;4;2;4;2;4;4;1;3;1;4;4;6;1;5;2;1;1;2;3;4;4;3;5;2;3;1;1;2;4;2;5;5;5;2;2;46;NA;NA;NA;16;8;1;1;40;1;1;1;1;1;3;1;2;8;8;8;7;8;5;3;1;8;NA;1;NA;88;6;1;2;1;4;0;NA;1;2;99;99;1;2;1;NA;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;1,04684745
"6";1;"131";"13106";130;"14-12-2019";13;7;4;3;4;3;4;4;3;3;1;3;12;3;2;3;3;1;1;77;77;7;7;3;4;2;3;3;2;3;3;3;3;3;3;3;3;2;3;3;3;2;3;3;2;3;3;3;2;3;3;3;3;4;4;2;4;4;4;4;3;4;4;4;4;3;4;4;4;4;4;4;3;3;3;3;3;3;3;3;1;3;3;5;4;3;4;4;4;3;1;4;3;5;4;3;4;4;4;2;3;4;6;4;7;6;1e+06;2;2e+07;5;3e+05;1;2500000;3;1e+07;5;350000;1;7;7;3;4;3;4;4;4;4;4;4;NA;NA;2;2;100;1;NA;88;NA;1;1;4;4;4;4;4;4;4;2;3;3;2;3;4;1;5;5;5;7;5;3;3;5;3;1;2;2;2;5;5;4;4;5;2;2;3;3;3;88;88;3;4;3;4;4;3;4;2;76;8;10;1943;6;1;2;NA;NA;2;2;8;3;NA;3;2;2;1;1;6;5;5;2;9;1;7;NA;2;NA;88;5;1;4;1;1;0;NA;2;4;99;99;5;2;1;NA;4;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;0,88768099
"7";1;"73";"7301";62;"09-12-2019";7;7;5;4;4;4;4;4;4;4;1;8;10;4;3;3;4;3;2;77;88;7;8;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;2;2;3;3;3;2;4;2;6;4;4;4;4;4;4;8;4;4;4;4;4;4;4;4;3;5;8;9;5;6;5;99;1;99;1;99;1;99;1;89;1;99;1;8;8;5;5;5;4;4;4;4;4;4;NA;NA;2;88;8;8;NA;7;NA;8;8;4;4;4;4;4;4;3;5;3;8;8;8;8;5;5;5;5;5;1;3;2;3;9;8;3;5;88;4;5;5;5;5;5;5;5;2;2;2;99;99;1;6;5;5;5;5;1;45;NA;NA;NA;17;8;1;99;NA;5;9;99;1;1;99;9;88;99;99;5;5;5;3;99;1;99;NA;99;99;999;5;99;NA;0;NA;0;NA;3;3;99;99;1;1;999;NA;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,17087356
"8";1;"131";"13106";130;"14-12-2019";13;6;4;5;2;5;5;2;5;1;1;10;15;3;2;3;2;1;2;77;77;5;NA;3;3;1;1;2;3;1;1;2;1;1;1;2;3;2;2;3;2;1;1;2;3;1;1;1;3;4;1;3;1;4;4;4;4;3;4;4;2;2;4;4;4;4;3;3;3;3;2;3;1;1;1;1;1;3;3;1;1;4;2;2;4;4;3;4;4;4;1;4;5;5;4;3;5;4;4;10;3;5;7;5;5;5;4e+06;4;3e+07;5;3e+05;1;2500000;3;8e+06;5;6e+05;2;3;3;2;3;2;4;4;4;4;4;4;NA;NA;1;1;10;10;5;NA;10;4;10;5;5;5;2;5;5;3;1;5;8;1;5;1;4;4;1;1;1;1;1;1;1;1;1;5;2;2;1;1;1;5;5;5;5;5;1;1;1;1;1;3;4;5;88;4;4;1;43;6;3;1976;16;8;1;1;50;1;2;1;3;NA;3;9;8;2;2;4;3;6;3;3;1;8;NA;1;NA;88;3;1;3;0;NA;0;NA;2;3;99;99;6;1;2;NA;3;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;1,30117033
"9";1;"131";"13106";130;"15-12-2019";13;6;4;5;5;5;5;5;5;3;3;13;6;2;2;2;3;2;2;77;77;7;7;6;3;2;6;6;6;6;3;6;6;6;6;6;6;6;6;6;6;2;2;6;3;6;2;6;6;3;6;6;6;4;3;1;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;3;3;2;3;3;3;3;3;1;3;3;5;4;3;5;4;4;4;1;4;3;8;8;8;8;8;8;8;10;4;1;88;88;88;7e+05;2;1e+07;5;4e+05;1;3e+06;3;5e+06;4;5e+05;2;2;4;5;4;5;4;2;4;4;4;4;3;5;1;2;7;7;6;NA;NA;5;7;4;4;4;4;4;4;4;1;2;2;4;3;3;4;4;3;3;3;1;3;3;5;5;1;8;2;7;5;5;5;5;5;3;2;3;2;4;1;1;2;5;6;88;88;88;88;1;37;9;6;1981;10;3;1;1;45;1;2;1;3;NA;3;2;3;1;4;3;3;3;1;99;2;NA;99;99;99;88;3;1;2;0;NA;1;1;4;1;9;9;2;3;1;1;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0,86744688
"10";1;"131";"13106";130;"15-12-2019";13;7;4;2;7;7;2;4;2;3;1;3;10;3;2;2;3;2;2;77;77;7;7;2;2;2;2;2;2;2;1;2;2;2;3;3;2;2;2;2;2;2;2;2;2;1;1;2;3;1;1;2;2;4;2;1;4;4;3;4;3;4;4;4;4;4;4;4;4;4;2;4;2;2;3;2;2;3;2;3;1;3;3;6;4;3;4;3;4;5;1;4;5;5;4;4;5;5;5;7;10;4;6;4;4;5;2e+06;3;2e+07;5;301000;1;3e+06;3;1e+07;5;5e+05;2;3;3;4;4;3;4;4;4;4;4;4;NA;NA;1;2;7;7;8;NA;NA;6;7;5;5;5;5;5;5;5;2;3;2;3;2;2;3;3;3;3;3;1;2;2;2;2;7;8;7;5;1;1;5;5;5;5;5;5;2;3;1;1;2;5;6;5;4;5;5;2;57;6;5;1962;13;6;1;1;45;1;2;1;3;NA;3;2;2;2;2;3;4;4;2;5;1;77;NA;77;77;88;1;1;1;0;NA;0;NA;3;4;9;9;6;1;1;NA;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0,16508908
